Id,Status,Audiobook,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
41,Yes,No,02/20/2022,The Truth,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/237372-L.jpg,9780000000000,Harper,368,1995,1995,https://bookshop.org/p/books/the-truth-terry-pratchett/6433662?aid=93821&ean=9780062307361&listref=matt-s-reading-list&page=2
40,Yes,No,02/08/2022,The Wee Free Men,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20823-L.jpg,9780000000000,HarperCollins,263,2003,2003,https://bookshop.org/p/books/the-wee-free-men-terry-pratchett/19647844?aid=93821&ean=9780060012380&listref=matt-s-reading-list&page=2
39,Yes,No,02/04/2022,The Last Continent,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43910-L.jpg,9780000000000,HarperPrism,292,0,1999,https://bookshop.org/p/books/the-last-continent-terry-pratchett/6432989?aid=93821&ean=9780062280190&listref=matt-s-reading-list&page=2
38,Yes,No,01/24/2022,Maskerade,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366343-L.jpg,9780000000000,Corgi,380,1996,1995,https://bookshop.org/p/books/maskerade-terry-pratchett/6432844?aid=93821&ean=9780062275523&listref=matt-s-reading-list&page=2
37,Yes,No,01/12/2022,The Fifth Elephant,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366514-L.jpg,9780000000000,Corgi,321,2000,1999,https://bookshop.org/p/books/the-fifth-elephant-terry-pratchett/6432996?aid=93821&ean=9780062280138&listref=matt-s-reading-list&page=2
36,Yes,No,12/28/2021,Lords and Ladies,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366216-L.jpg,9780000000000,Corgi,386,1994,1992,https://bookshop.org/p/books/lords-and-ladies-terry-pratchett/6432136?aid=93821&ean=9780062237392&listref=matt-s-reading-list&page=2
35,Yes,No,12/21/2021,Interesting Times,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9935818-L.jpg,9780000000000,Harper,416,2014,1994,https://bookshop.org/p/books/interesting-times-terry-pratchett/15179341?aid=93821&ean=9780062276292&listref=matt-s-reading-list&page=2
34,Yes,No,12/12/2021,Tehanu,Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/8753482-L.jpg,9780000000000,Gallery / Saga Press,288,2012,1990,https://bookshop.org/p/books/tehanu-ursula-k-le-guin/10342156?aid=93821&ean=9780689845338&listref=matt-s-reading-list&page=2
33,Yes,No,12/04/2021,Cat's Cradle,Kurt Vonnegut Jr.,"Pratchett, Terry",https://covers.openlibrary.org/b/id/239794-L.jpg,9780000000000,Penguin,179,1999,1963,https://bookshop.org/p/books/cat-s-cradle-kurt-vonnegut/8615982?aid=93821&ean=9780385333481&listref=matt-s-reading-list&page=2
32,Yes,No,11/30/2021,Making Money,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/7020264-L.jpg,9780000000000,HarperCollins,394,2007,2007,https://bookshop.org/p/books/making-money-terry-pratchett/6434412?aid=93821&ean=9780062334992&listref=matt-s-reading-list&page=2
